Brand,Brand_Cat
Hilton Grand Vacations,Other
Independent,Other
LXR Hotels and Resorts,Luxury & Lifestyle
Canopy,Luxury & Lifestyle
Unknown Brand,Other
Condo,Other
Hampton,Focused Service
Conrad,Luxury & Lifestyle
Curio Collection by Hilton,Full Service
Tru by Hilton,Focused Service
Waldorf Astoria Hotels & Resorts,Luxury & Lifestyle
Tapestry Collection by Hilton,Full Service
Home2 Suites by Hilton,All Suites
Hilton Garden Inn,Focused Service
DoubleTree by Hilton,Full Service
Embassy,All Suites
Hilton,Full Service
Homewood by Hilton,All Suites
